name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 4615,,181.5963,-65.7092,,6.06,W,STAR G8III,0.65,,0.40,,105151,4615,,,,251738
HR 4115,,156.8554,-65.7047,,6.01,,STAR A2V,0.09,,0.11,,90874,4115,,,,250966
HR 4669,,184.2750,-65.6928,,6.06,,STAR A0V,0.03,,-0.05,,106797,4669,,,,251826
HR 5093,,203.3987,-65.6325,,6.37,,STAR A0V,-0.02,,-0.08,,117651,5093,,,,252361
HR 3280,,124.5788,-65.6133,,5.07,,STAR K1III,1.15,,1.19,,70514,3280,,0.0130,,250186
HR 5766,,234.0725,-65.6133,,6.51,W,STAR F3IV,0.35,,0.03,,138498,5766,,,,253222
HR 7524,,297.7554,-65.6050,,6.05,,STAR F2III,0.30,,0.08,,186786,7524,,,,254669
HR 2245,Eta2Dor,92.8125,-65.5894,,5.01,,STAR M2III,1.62,,1.86,,43455,2245,,0.0090,,249469
HR 9076,Eps Tuc,359.9792,-65.5772,,4.50,,STAR B9IV,-0.08,,-0.28,,224686,9076,,,,255619
HR 2408,,97.5125,-65.5683,,6.29,,STAR F0III,0.33,,0.06,,46730,2408,,,,249568
HR 4611,,181.4717,-65.5472,,6.33,,STAR B6I,0.22,,-0.47,,105071,4611,,,,251734
HR 6151,The TrA,248.9367,-65.4953,,5.52,,STAR G8III,0.93,,0.73,,148890,6151,,0.0140,,253614
HR 6634,,268.3267,-65.4892,,6.49,,STAR K0III,1.08,,1.00,,161955,6634,,,,254063
HR 187,Rho Tuc,10.6183,-65.4681,,5.39,,STAR F6V,0.50,,0.02,,4089,187,,0.0380,,248237
HR 304,,15.6788,-65.4561,,6.21,,STAR M2III,1.64,,1.91,,6311,304,,,,248308
HR 5851,,236.9733,-65.4425,,6.18,W,STAR A5III,0.22,,0.10,,140483,5851,,,,253297
HR 5852,,236.9738,-65.4425,,6.39,W,STAR F0IV,0.24,,0.10,,140484,5852,,,,
HR 584,,29.4733,-65.4247,,6.37,,STAR G8II,0.90,,0.62,,12270,584,,,,248472
HR 4492,,174.8725,-65.3978,,5.17,W,STAR G2III,0.80,,0.36,,101379,4492,,0.0060,,251522
HR 6233,,252.9746,-65.3756,,6.13,,STAR B8II,-0.02,,-0.28,,151441,6233,,,,253717
HR 8181,Gam Pav,321.6108,-65.3661,,4.22,,STAR F6V,0.49,,-0.12,,203608,8181,,0.1110,,254999
HR 4952,The Mus,197.0292,-65.3064,,5.51,W,STAR B0I,-0.02,,-0.87,,113904,4952,,,,252162
HR 5611,,226.9867,-65.2756,,6.17,,STAR K3III,1.47,,1.70,,133456,5611,,,,253024
HR 4549,,177.9633,-65.2061,,4.90,W,STAR B4V,-0.11,,-0.54,,103079,4549,,,,251617
HR 5876,,238.2363,-65.1525,,6.54,,STAR A5IV,0.19,,0.12,,141413,5876,,,,253323
HR 5000,,199.1867,-65.1383,,6.07,,STAR F5V,0.44,,-0.02,,115149,5000,,,,252236
HR 160,,9.1558,-65.1247,,6.42,,STAR K2III,1.26,,1.38,,3444,160,,,,248225
HR 4185,,160.0471,-65.1006,,5.52,,STAR B9,-0.16,,-0.57,,92664,4185,,,,251059
HR 7036,The Pav,282.1575,-65.0778,,5.73,,STAR A8V,0.24,,0.11,,173168,7036,,,,254374
HR 3891,Ups Car,146.7779,-65.0725,,6.26,W,STAR B7III,0.08,,-0.54,,85124,3891,,0.0270,,250696
HR 3890,Ups Car,146.7754,-65.0719,,3.01,W,STAR A6I,0.28,,0.18,,85123,3890,,0.0270,,250695
HR 5920,,239.7421,-65.0378,,5.75,W,STAR B7III,-0.06,,-0.40,,142514,5920,,,,253362
HR 5463,Alp Cir,220.6267,-64.9753,,3.19,W,STAR A0,0.24,,0.12,,128898,5463,,0.0560,,252853
HR 8540,Del Tuc,336.8333,-64.9664,,4.48,W,STAR B9V,-0.03,,-0.07,,212581,8540,,,,255222
HR 4401,,170.8408,-64.9550,,5.11,W,STAR B5V,-0.08,,-0.42,,99104,4401,D,0.0100,,251383
HR 3841,,144.0213,-64.9506,,6.56,,STAR A2V,0.10,,0.11,,83523,3841,,,,250636
HR 3761,,141.6842,-64.9297,,6.05,,STAR A3V,0.15,,0.10,,82068,3761,,,,250583
HR 77,Zet Tuc,5.0179,-64.8747,,4.23,,STAR F9V,0.58,,0.02,,1581,77,,0.1340,,248163
HR 7012,,281.3621,-64.8714,,4.79,,STAR A5IV,0.20,,0.08,,172555,7012,,0.0350,,254358
HR 3671,NGC 2808,138.0117,-64.8633,,,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,,,,,,3671,,,,
HR 4326,,166.6008,-64.8397,,6.41,,STAR A3V,0.12,,0.13,,96568,4326,,,,251267
HR 8249,,324.5121,-64.8242,,6.20,,STAR A0IV,0.03,,0.05,,205417,8249,,,,255040
HR 1175,Bet Ret,56.0500,-64.8069,,3.85,W,STAR K2III,1.13,,1.10,,23817,1175,,0.0420,,248877
HR 6582,Eta Pav,266.4333,-64.7239,,3.62,,STAR K2II,1.19,,1.17,,160635,6582,,0.0250,,254020
HR 8331,,327.5004,-64.7125,,5.62,,STAR K0III,1.02,,0.83,,207229,8331,,,,255080
HR 8945,,353.8029,-64.6894,,7.40,W,STAR F2IV,,,,,221740,8945,,,,255520
HR 8125,,319.5013,-64.6817,,6.31,,STAR B8V,-0.07,,-0.22,,202299,8125,,,,254966
HR 4065,,154.7700,-64.6764,,5.67,W,STAR A1V,0.05,,0.05,,89715,4065,,,,250917
HR 5069,,202.2817,-64.6758,,6.11,,STAR A0,0.11,,0.05,,117025,5069,,,,252329
HR 6996,,280.5938,-64.6431,,6.37,,STAR A5V,0.15,,0.14,,172021,6996,,,,254343
HR 4616,Eta Cru,181.7204,-64.6136,,4.15,W,STAR F2III,0.34,,0.03,,105211,4616,,0.0530,,251742
HR 3346,,126.4650,-64.6008,,5.97,,STAR G8III,0.96,,0.73,,71863,3346,,,,250226
HR 4384,,169.8188,-64.5825,,5.99,,STAR F6IV,0.46,,0.00,,98560,4384,,,,251357
HR 5130,,205.0454,-64.5769,,5.79,,STAR F3III,0.39,,0.02,,118666,5130,,,,252400
HR 7004,,280.9050,-64.5511,,5.78,,STAR K0III,0.96,,0.77,,172211,7004,,,,254353
HR 6740,,271.9513,-64.5500,,6.41,,STAR K2III,1.26,,1.41,,164871,6740,,,,254141
HR 5041,,201.0021,-64.5358,,4.53,,STAR G6II,0.85,,0.47,,116243,5041,,0.0020,,252293
HR 5725,,231.8879,-64.5314,,5.71,,STAR K5III,1.64,,1.98,,137066,5725,,,,253174
HR 4219,,161.5688,-64.5150,,5.34,,STAR B6V,-0.10,,-0.45,,93540,4219,,,,251115
HR 2888,,112.2138,-64.5100,,6.39,,STAR K5III,1.56,,1.85,,60150,2888,,,,249864
HR 3632,,136.5317,-64.4997,,6.37,,STAR K3III,1.35,,1.58,,78632,3632,,,,250441
HR 3948,,149.3133,-64.4894,,6.58,,STAR K0III,1.13,,1.08,,86634,3948,,,,250760
HR 5048,,201.3079,-64.4853,,5.31,W,STAR F2III,0.40,,-0.01,,116457,5048,,0.0080,,252304
HR 2104,,88.5496,-64.4822,,6.63,,STAR F0III,0.38,,0.10,,40455,2104,,,,249391
HR 4196,,160.5583,-64.4664,,4.82,,STAR B4V,-0.14,,-0.58,,92938,4196,,,,251078
HR 880,,43.5871,-64.4356,,6.56,,STAR K2III,1.39,,1.59,,18423,880,,,,248681
